conf,P,R,F1
0.9328,1.0,8.878629139660837e-05,0.00017755681818181821
0.89086,0.9959016393442623,0.021575068809375833,0.042235161206222296
0.88246,0.9918032786885246,0.04297256503595845,0.08237596800272319
0.87534,0.9890710382513661,0.06428127497114446,0.12071696540225092
0.86981,0.985655737704918,0.08541241232353725,0.15720238581583462
0.86379,0.9819672131147541,0.10636597709313682,0.19194103981414723
0.85806,0.9788251366120219,0.12723075557133978,0.22519053979728137
0.8531,0.9789227166276346,0.1484506792151292,0.25780587464343535
0.84766,0.9789959016393442,0.16967060285891858,0.2892167990919409
0.84175,0.9790528233151184,0.190890526502708,0.3194888178913738
0.83574,0.978688524590164,0.21202166385510077,0.34853681675545506
0.82964,0.9787630402384501,0.23324158749889018,0.37671183767118377
0.82402,0.9781420765027322,0.25428393855988635,0.40363610739200906
0.81774,0.9773013871374527,0.27523750332948593,0.42951160374090747
0.81127,0.9754098360655737,0.2958359229334991,0.45398187887458274
0.80448,0.975136612021858,0.31687827399449525,0.4783220532064599
0.79805,0.9713114754098361,0.3366776169759389,0.5000329663084327
0.79107,0.9693828351012537,0.35700967770576225,0.5218350528843034
0.78273,0.968351548269581,0.37760809730977535,0.5433407856914724
0.77494,0.9672131147540983,0.3981177306223919,0.5640606327441977
0.76638,0.9657786885245901,0.4184497913522152,0.583906337112061
0.7575,0.9644808743169399,0.4387818520820385,0.6031610422896198
0.74795,0.9618107302533532,0.458403622480689,0.6208887018218989
0.73778,0.9590163934426229,0.4778478202965462,0.6378666666666666
0.72732,0.9566256830601093,0.49738080440380006,0.6544774811612828
0.71624,0.9552459016393443,0.5173577199680369,0.6711973737257386
0.70475,0.9522383354350568,0.5363579863269111,0.6862043505423978
0.69218,0.9474802671523983,0.5542040308976294,0.6993445745336395
0.67822,0.9456967213114754,0.5736482287134866,0.7141199226305609
0.66515,0.9423403052572075,0.5920269910325846,0.7271934129450898
0.65161,0.9386612021857923,0.610050608186096,0.7394930850777592
0.63524,0.9348228450555262,0.6278078664654178,0.7511552557497211
0.61742,0.9307120901639344,0.6452099795791529,0.762099522835719
0.59898,0.9282165921510184,0.6635887418982509,0.7739062904478384
0.58204,0.924662487945998,0.6810796413033827,0.7843959302622833
0.5608,0.9197892271662763,0.6974163189203587,0.7933141443215674
0.54053,0.9154143897996357,0.7139305691201279,0.8022147952312066
0.52035,0.9099468320779797,0.7293793838231377,0.8097185944507417
0.49576,0.902825711820535,0.7432300452810087,0.8152909666423179
0.47515,0.8957545187053384,0.7568143478646897,0.8204437172144954
0.45122,0.8885245901639345,0.7699547189913877,0.8250011891737621
0.4275,0.8812475009996001,0.7827399449524993,0.8290779141392769
0.40376,0.8722677595628415,0.7936606587942822,0.8311096648226489
0.3808,0.8622760198246283,0.8032495782651159,0.8317168467019076
0.35809,0.8521795827123696,0.8123057799875699,0.8317650802309197
0.33644,0.8419854280510018,0.8208292639616444,0.8312727599694285
0.31552,0.8323235923022095,0.8294415342271153,0.8308800640369992
0.29601,0.8224625043599582,0.8374323004528101,0.8298798996964498
0.27809,0.8117315573770492,0.8440912723075558,0.8275952121871599
0.25911,0.8011040481766477,0.850395098996715,0.8250139971575003
0.24422,0.7907377049180327,0.8565213531030809,0.8223159868729488
0.22752,0.7806171648987463,0.8624700346266536,0.8195047876154722
0.21322,0.7694672131147541,0.8668205629050875,0.8152477975867396
0.2002,0.7588153417878132,0.8712598774749178,0.8111593304401735
0.18937,0.7479508196721312,0.8749889017135755,0.8064978108760588
0.17817,0.7374068554396424,0.8786291396608363,0.8018474253534822
